id,review,rating
0,Thank you for the excellent service that was relevant a few years ago and continues to be relevant today.,4
0,"This is an outstanding peace of information inded. The whole topic on Authentic Assessment has been adequately exhausted, well presented and the content easily comprehensible.The author's approach to the topic was appropriate as the assumtions of each assessment type were stated as a launching pad for the presentation.I have used the the authentic assessment tool some time ago in an exceptional education classroom in a high school and I can attest that students' enthusiam in the project just hit the roof. My students wre classified as being learning disabled, and from that expeience, I learnt from their engagement in the project that it is critically important for teachers to, at anytime in the teaching and learning process, identify whatever instructional strategy that will fully benefit them. Students with learning disabilities in particular, dislike monotony, especially if the learning tasks are so regimented and uninteresting. Authentic Assessments are, therefore, one sure way of getting them interested and engaged. Even though the author does not single out any category of learners as being the most appropriate beneficiaries of AA, I have course to believe that those with learning disabilities will benefit from it the most, if well handled.I particularly like the author's emphasis on the need for a combination of the types of assessments. Of course, it couldn't be all about one or the other. ",5
0,"A complete site to learn concepts, methodology and tools for assessment. It provides useful guidelines and examples in different areas.",4
0,"This is a great tool in developing relative assesments and guidelines. Very well written, and great examples.",4
0,Well build and plenty of information. easy to read and consistant in information.Technical Remarks:I find it overwhelming in paragraph after paragraph of information. ,4
0,"The example of the mentor/mentee in learning how to properly phrase an Authentic Assessment for a course assignment is excellent.  I currently use most of the language in attempting to clearly communicate to students what is expected, ""before"" it is due.  After reading this example, I have a better understanding of how to direct and guide students to particular areas that will be expected. I have a new course beginning tomorrow and am excited about incorporating this new knowledge.  ",5
0,"Great resource for learning about authentic assessment.  What's especially nice, is that this resource doesn't stop at the ""what"" but it elaborates on the ""why"" and ""how"" of using authentic assessment.",4
0,"Very thorough and clear definitions, explanations and examples. It is difficult, however, to construct a site that includes information for k-12 as well as higher education. There are fewer examples from higher ed and some of the k-12 examples in the main text may be off-putting for higher ed faculty.",4
0,This a great site for resources about assessments. ,4
0,"This toolbox reinforced the principles that I use for clinical reasoning and competency based instruction where paper and pencil tests just don't ensure that students can perform in real world scenarios.  As an occupational therapy educator, I am always trying to simulate real world clinical situations and this learning environment gave me some new tools as well as support for what I am doing in the classroom.  Great site.",5
0,"This is one of the more useful sites out there on Outcomes Assessment.  I particularly find it helpful that it provides both the big picture about assessment (formative and summative) as well as specific information about developing rubrics (holistic and analytical).  While there are examples more relevant for K-12, there are also examples relevant for college level.",5
